Column 1,Facility Type,Inmate Sex,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Newspaper Delivery Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Inmate Search Link,Contact Via Email,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
"Freeborn County Sheriff Office
",Sheriff Office,Both,Minnesota , Albert Lea,56007,"411 S Broadway Ave S, Albert Lea, MN 56007","411 S Broadway Ave S, Albert Lea, MN 56007",,"507-377-5299","https://www.co.freeborn.mn.us/124/Sheriff

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrien County Sheriff's Department,Sheriff Office,Both,Michigan ,St. Joseph,49085,"919 Port Street, St. Joseph, MI 49085","919 Port Street, St. Joseph, MI 49085",,269-983-7141,https://www.berriencounty.org/253/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tippecanoe County Sheriff's Office,Sheriff Office,Both,Indiana,Lafayette,47904,"2640 Duncan Road
Lafayette, IN 47904","2640 Duncan Road
Lafayette, IN 47904",,765-423-9388,https://www.tippecanoe.in.gov/1447/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County Sheriff’s Office,Sheriff Office,Both,New York,Carmel,10512,"3 County Center
Carmel, NY, 10512","3 County Center
Carmel, NY, 10512",,(845) 225-4300,https://putnamsheriff.com/jail-visitation-info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex County Sheriff's Office,Sheriff Office,Both,New Jersey,Newark,7102,"50 W Market St, Newark, NJ 07102   ","50 W Market St, Newark, NJ 07102   ",,(973) 621-4111,"
https://www.essexsheriff.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socorro County Sheriff Office,Sheriff Office,Both,New Mexico,Socorro,87801,"200 Church St, Socorro, NM 87801","PO Box 581, Socorro, NM 87801",,(575) 835-0941,https://www.socorrocounty.net/elected-officials/sheriffs-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hughes County Jail,County Jail,Both,South Dakota,Pierre,57501," 3100 E Hwy 34
 Pierre, SD 57501"," 3100 E Hwy 34
 Pierre, SD 57501",,(605) 773-7475,"https://hughescounty.org/jail
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall County Sheriff's Office,Sheriff Office,Both,Texas,Boerne,78006,"6 Staudt St., Boerne, Texas 78006 ","6 Staudt St., Boerne, Texas 78006 ",, 830-249-9721,"https://www.kendallcountysheriff.com/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County Jail,County Jail,Both,Minnesota ,Moorhead,56560,"800 9th St N,
Moorhead, MN 56560","800 9th St N,
Moorhead, MN 56560",,218-299-5012,https://claycountymn.gov/134/About-Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio County Sheriff,Sheriff Office,Both,Indiana,Rising Sun,47040,"123 S Mulberry St, Rising Sun, IN 47040","123 S Mulberry St, Rising Sun, IN 47040",,(812) 438-3636,https://ohiocountyin.gov/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County Sheriff's Office,Sheriff Office,Both,Maryland ,Hagerstown,21740,"500 Western Maryland Parkway Hagerstown,MD 21740","500 Western Maryland Parkway Hagerstown,MD 21740",,240-313-2100,"https://www.washcosheriff.com/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskingum County Sheriff's Office,Sheriff Office,Both,ohio,Zanesville,43701,"1840 East Pike, Zanesville, OH 43701","1840 East Pike, Zanesville, OH 43701",,(740) 452-3637,https://www.ohiomuskingumsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Jail,Sheriff Office,Both,North Carolina,Bolivia,28422,"70 Stamp Act Drive • Bolivia, NC 28422","70 Stamp Act Drive • Bolivia, NC 28422",,910-253-2777 ,https://www.brunswicksheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalamazoo County Sheriff's Office,Sheriff Office,Both,Michigan ,Kalamazoo,49048,"1500 Lamont Ave.
Kalamazoo, MI 49048","1500 Lamont Ave.
Kalamazoo, MI 49048",,(269) 383-8821,https://www.kalcounty.gov/832/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnehaha County Jail,County Jail,Both,South Dakota,Sioux Falls,57104," 305 W 4th St, Sioux Falls, SD 57104"," 305 W 4th St, Sioux Falls, SD 57104",,(605) 367-4321,"
https://www.minnehahacounty.gov/dept/so/divisions/jail/jail.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perry County
Sheriff's Office",Sheriff Office,Both,Arkansas,Perryville,72126," 511 Aplin Avenue. Perryville, AR 72126","P.O. Box 146 Perryville, AR 72126",,(501)889-5708,https://perrycountysheriffar.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County Sheriff’s Office,Sheriff Office,Both,Ohio,Marietta,45750,"309 Fourth Street
Marietta, Ohio  45750","309 Fourth Street
Marietta, Ohio  45750",,(740) 376-7070,"
https://www.washingtoncountysheriff.org/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumner County Sheriff's Office,Sheriff Office,Both,Tennessee ,Gallatin,37066,"117 West Smith Street,
Gallatin, TN 37066","117 West Smith Street,
Gallatin, TN 37066",,615-452-2616,https://www.sumnersheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumner County Jail,County Jail,Both,Kansas,Wellington,67152,"610 E. Hillside
Wellington, KS 67152","610 E. Hillside
Wellington, KS 67152",,620-326-8941,https://www.sumnersheriff.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard County Sheriff's Office,Sheriff Office,Both,Utah,Fillmore,84631,"765 South Highway 99
Fillmore, UT, 84631, USA","765 South Highway 99
Fillmore, UT, 84631, USA",,(435) 743-5585,https://millardsheriff.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimack County Sheriff's Office,Sheriff Office,Both,New Hampshire,Boscawen,3303," 333 Daniel Webster Hwy, Boscawen, NH 03303"," 333 Daniel Webster Hwy, Boscawen, NH 03303",,(603) 796-6600,https://merrimackcounty.net/departments/sheriff/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uintah County Jail
",County Jail,Both,Utah,Vernal,84078,"641 E 300 S,
Vernal, UT 84078","641 E 300 S,
Vernal, UT 84078",,(435) 781-1300,https://www.uintah.gov/residents/uintah_county_jail.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiawassee County Jail
",County Jail,Both,Michigan ,Corunna,48817,"201 E McArthur St, Corunna, MI 48817","201 E McArthur St, Corunna, MI 48817",,989-743-2222,"https://shiawassee.net/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin County Sheriff,Sheriff Office,Both,California,French Camp,95231,"7000 Michael Canlis Blvd
French Camp, CA 95231","7000 Michael Canlis Blvd
French Camp, CA 95231",,(209) 468-4400,https://sjsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Humboldt County Sheriff's Office,Sheriff Office,Both,Nevada,Winnemucca,89445,"50 W. Fifth Street
Winnemucca, NV 89445","50 W. Fifth Street
Winnemucca, NV 89445",," 775-623-6419","https://www.humboldtcountynv.gov/518/Humboldt-County-Sheriffs-Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins County Jail 
",County Jail,Both,Kentucky,Madisonville,42431,"2250 Laffoon Trail
Madisonville,KY 42431
","P.O.Box 1030
Madisonville,KY 42431
",,"(270) 821-6704",http://www.hopkinscountyjail.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath County Sheriff Office,Sheriff Office,Both,Kentucky,Owingsville,40360,"17 W. Main Street
Owingsville, KY 40360","17 W. Main Street
Owingsville, KY 40360",," (606)674-2931",https://bathcountykentucky.a-zcompanies.com/sheriff-s-department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Noble County Sheriff's Office
",Sheriff Office,Both,Ohio,Caldwell,43724,"420 Olive Street
Caldwell, Ohio 43724","420 Olive Street
Caldwell, Ohio 43724",,740-732-5631,"https://noblesheriff.org/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missoula County Sheriff's Office,Sheriff Office,Both,Montana,Missoula,59808,"2415 Mullan Rd
Missoula, MT 59808","2415 Mullan Rd
Missoula, MT 59808",,406-258-4810,https://www.missoulacounty.gov/departments/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norfolk Sheriff's Office
",Sheriff Office,Both,Virginia,Norfolk,23510,"811 E. City Hall Avenue
Norfolk, VA 23510","811 E. City Hall Avenue
Norfolk, VA 23510",,"(757) 664-4700
",https://norfolk-sheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickey County Sheriff,Sheriff Office,Both,North Dakota,Ellendale,58436,"309 N 2nd Street
Ellendale, ND 58436
","P.O Box 297
Ellendale, ND 58436",,(701) 349-3249,https://dickeynd.com/sheriffs-department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County Sheriff's Office,Sheriff Office,Both,Arkansas,Clarksville,72830,"301 Porter Industrial Road
Clarksville, AR 72830","301 Porter Industrial Road
Clarksville, AR 72830",,(479) 754-2200,https://www.jcsoar.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County Sheriff’s Office,Sheriff Office,Both,Nevada,Minden,89423,"1038 Buckeye Road,
Minden, NV. 89423","P.O. Box 218 Minden,
NV. 89423",,(775) 782-5126,https://sheriff.douglascountynv.gov/your_sheriffs_office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevens County Sheriff,Sheriff Office,Both,Kansas,Hugoton,67951,"505 S Monroe, Hugoton, Ks 67951
","PO Box 459, Hugoton, Ks 67951",,(620) 544-4386,https://stevenscoks.org/departments/sheriff.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice County Sheriff's Office,Sheriff Office,Both,Kansas,Lyons,67554,"1442 West Commercial Ave
Lyons, KS 67554","1442 West Commercial Ave
Lyons, KS 67554",,(620)257-7876,"https://www.ricecounty.us/departments/rice_county_sheriffs_office/index.php
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheriff Page County ,Sheriff Office,Both,Virginia,Luray,22835,"108 South Court Street
Luray, VA 22835","108 South Court Street
Luray, VA 22835",,"540-743-6571",https://pagesheriff.com/division-jail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo County Sheriff's Office,Sheriff Office,Both,Texas,Edinburg,78541,"711 E El Cibolo Rd, Edinburg, TX 78541","711 E El Cibolo Rd, Edinburg, TX 78541",,(956) 383-8114,https://www.hidalgocounty.us/209/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrow County Jail,County Jail,Both,Ohio,Mt Gilead,43338,"101 Home Rd, Mt Gilead, OH 43338","101 Home Rd, Mt Gilead, OH 43338",,(419) 947-1151,https://morrowcountysheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Sheriffs’ Association,Sheriff Office,Both,South Carolina,Columbia,29210,"112 Westpark Boulevard ,Columbia, SC 29210","P.O. Box 21428 
Columbia, SC 29221
",,803-772-1101,https://www.sheriffsc.org/county_map/county/2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephenson County Jail,County Jail,Both,Illinois ,Freeport,61032,"1680 E. Singer Dr., Freeport, IL 61032","1680 E. Singer Dr., Freeport, IL 61032",,(815) 235-8254,"https://stephensoncountyil.gov/index.php
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Paz County 
Sheriff's Office",Sheriff Office,Both,Arizona,Parker,85344,"1109 W Arizona Ave,
Parker, AZ 85344","1109 W Arizona Ave,
Parker, AZ 85344",, 928-669-6141,"https://www.lapazsheriff.org/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pickaway County Sheriff's Office
",Sheriff Office,Both,Ohio,Circleville,43113,"600 Island Rd, Circleville, OH 43113","600 Island Rd, Circleville, OH 43113",,(740)474-2176,https://www.pickawaysheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creswell Sheriff's Office,Sheriff Office,Both,Oregon,Creswell,97426," 13 South 1st Street 
 Creswell, Oregon 97426","P.O. Box 276
Creswell, Oregon 97426",,(541) 895-2531 ,"https://www.ci.creswell.or.us/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange County Sheriff's Office",Sheriff Office,Both,New York,Goshen,10924,"110 Wells Farm Rd, Goshen, NY 10924","110 Wells Farm Rd, Goshen, NY 10924",,(845) 291-4033,https://www.orangecountygov.com/2328/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennington County Sheriff Office,Sheriff Office,Both,South Dakota,New Underwood,57761,"501 S A Ave, New Underwood, SD 57761","501 S A Ave, New Underwood, SD 57761",,(605) 754-6767,https://www.penningtonsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson County Sheriff's Office,Sheriff Office,Both,Kentucky,Henderson,42420,"20 N Main Street
Suite 112
Henderson, KY 42420","20 N Main Street
Suite 112
Henderson, KY 42420",,270-826-2713,https://www.hendersoncountyky.gov/219/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks County Sheriff's Office,Sheriff Office,Both,Georgia ,Homer,30547,"160 Windmill Farm Road,
Homer, GA 30547","160 Windmill Farm Road,
Homer, GA 30547",,706-677-2248,https://www.bankscountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County Sheriff Office,Sheriff Office,Both,South Dakota,Madison,57042,"200 Center St E,
Madison, SD 57042","200 Center St E,
Madison, SD 57042",,605-256-7615,http://www.lake.sd.gov/custom/sheriff-s-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy County Sheriff Department,Sheriff Office,Both,North Dakota,New Rockford,58356,"524 Central Ave
New Rockford, ND 58356","524 Central Ave
New Rockford, ND 58356",,(701)947-5515,https://www.eddycountynd.org/departments/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyon County Sheriff's Office
",Sheriff Office,Both,Kansas,Emporia,66801,"425 Mechanic
Emporia,KS 66801","425 Mechanic
Emporia,KS 66801",,(620)341-3205,"https://lyoncountyso.com/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County Sheriff's Office,Sheriff Office,Both,Colorado,Castle Rock,80109,"4000 Justice Way,
Castle Rock, CO 80109
","4000 Justice Way,
Castle Rock, CO 80109
",, 303-660-7505,https://dcsheriff.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison County Jail,County Jail,Both,Colorado,Gunnison,81230,"510 W. Bidwell
Gunnison, CO 81230","510 W. Bidwell
Gunnison, CO 81230",,"(970) 641-1108",https://www.gunnisoncounty.org/165/Detention-Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red River County Jail,County Jail,Both,Texas,Clarksville,75426,"500 N Cedar St. 
Clarksville, TX 75426","500 N Cedar St. 
Clarksville, TX 75426",,903-427-3838,https://www.co.red-river.tx.us/page/redriver.Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bland County Sheriff's Office,Sheriff Office,Both,Virginia,Bland,24315,"612 Main St, Bland, VA 24315","P.O. Box 510 Bland, VA 24315",,(276) 688-4622,"https://www.blandcountyva.gov/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson County Sheriff's Office,Sheriff Office,Both,Michigan ,Iron Mountain,49801,"300 E D St,
Iron Mountain, MI 49801","P.O. BOX 609
Iron Mountain, MI 49801",,(906) 774-6262,"https://www.dickinsoncountymi.gov/government/county_departments/sheriffs_department.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurston County Sheriff Office,Sheriff Office,Both,Washington,Olympia,98502,"2000 Lakeridge Drive SW, Building 3
Olympia, WA 98502
","2000 Lakeridge Drive SW, Building 3
Olympia, WA 98502
",,(360) 704-2740,https://www.thurstoncountywa.gov/departments/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall County Jail,County Jail,Both,Texas,Rockwall,75087,"950 T L Townsend Dr, Rockwall, TX 75087"," 950 T L Townsend Dr, Rockwall, TX 75087",,(972) 204-7108,https://rockwallcountytexas.com/360/Detention-Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norfolk County
Sheriff’s Office
",Sheriff Office,Both,Massachusetts ,Dedham,2027,"200 West St. P.O Box 149
Dedham, Massachusetts, 02027","200 West St. P.O Box 149
Dedham, Massachusetts, 02027",,(781) 329-3705,https://www.norfolksheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsey County Sheriff,Sheriff Office,Both,North Dakota,Devils Lake,58301,"222 W Walnut
Devils Lake, ND 58301","222 W Walnut
Devils Lake, ND 58301",,701-662-0708,https://ramseycountynd.gov/161/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver County Sheriffs Department,Sheriff Office,Both,Colorado,Denver,80204," 490 W Colfax Ave, Denver, CO 80204"," 490 W Colfax Ave, Denver, CO 80204",,(720) 913-3642,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Sheriff-Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray County Sheriff's Office,Sheriff Office,Both,Minnesota ,Slayton,56172,"2800-2898, Broadway Ave, Slayton, MN 56172","2800-2898, Broadway Ave, Slayton, MN 56172",,(507) 836-6168,https://murraycountymn.com/county_departments/sheriff_s_office/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York County Jail,County Jail,Both,Maine,Alfred,4002,"1 Layman Way
Alfred, ME 04002","1 Layman Way
Alfred, ME 04002",,(207)324-9001,https://www.archive.yorkcountymaine.gov/york-county-jail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faulk County Sheriff,Sheriff Office,Both,South Dakota,Faulkton,57438,"924 Lafoon Ave, Faulkton, SD 57438 ","924 Lafoon Ave, Faulkton, SD 57438 ",,(605) 598-6229,https://faulkcountyjail.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau County Sheriff's Office,Sheriff Office,Both,Wisconsin,Mauston,53948," 200 Oak St, Mauston, WI 53948"," 200 Oak St, Mauston, WI 53948",,(608) 847-5649,https://www.co.juneau.wi.gov/departments/sheriff_s_office/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny County Sheriff's Office,Sheriff Office,Both,Pennyslvania,Pittsburgh,15219," 436 Grant St, Pittsburgh, PA 15219"," 436 Grant St, Pittsburgh, PA 15219",,(412) 350-4700,"https://sheriffalleghenycounty.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maricopa County Sheriff Office,Sheriff Office,Both,Arizona,Phoenix,85003,"550 West Jackson, Phoenix Arizona 85003","550 West Jackson, Phoenix Arizona 85003",,(602) 876-1000,"https://www.mcso.org/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nobles County Sheriff's Office",Sheriff Office,Both,Minnesota ,Worthington,56187,"1530 Airport Rd # 200, Worthington, MN 56187","1530 Airport Rd # 200, Worthington, MN 56187",,(507) 295-5400,https://www.co.nobles.mn.us/departments/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Bernardino County
Sheriff's Department",Sheriff Office,Both,California,San Bernardino,92415,"655 East Third Street
San Bernardino, California 92415-0061","655 East Third Street
San Bernardino, California 92415-0061",,(909) 884-0156,https://wp.sbcounty.gov/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathon County Sheriff's Office,Sheriff Office,Both,Wisconsin,Wausau,54403,"500 Forest Street
Wausau, WI 54403","500 Forest Street
Wausau, WI 54403",,715-261-1200,https://www.marathoncounty.gov/about-us/departments/sheriff-s-office/sheriff-s-office-divisions/corrections-jail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seminole County Sheriff's Office
",Sheriff Office,Both,Florida,Sanford,32773,"100 Eslinger Way, Sanford, FL 32773","100 Eslinger Way, Sanford, FL 32773",,"(407) 665-6650",https://www.seminolesheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Humboldt Sheriff's Office
",Sheriff Office,Both,California,Eureka,95501,"826 Fourth Street
Eureka, CA 95501","826 Fourth Street
Eureka, CA 95501
",,707-445-7251,"
https://humboldtgov.org/2545/Sheriffs-Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County Kansas Sheriff's Office,Sheriff Office,Both,Kansas,Lawrence,66044,"111 East 11th Street
Lawrence, Kansas 66044
","111 East 11th Street
Lawrence, Kansas 66044
",,(785) 841-0007,https://dgso.org/#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresno County Sheriff's Office
",Sheriff Office,Both,California,Fresno,93721,"2200 Fresno St, Fresno, CA 93721","2200 Fresno St, Fresno, CA 93721",,"(559) 600-3111",https://www.fresnosheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper County Sheriff's Office,Sheriff Office,Both,Mississippi ,Bay Springs,39422,"29 W 8th Ave, Bay Springs, MS 39422","29 W 8th Ave, Bay Springs, MS 39422",,(601) 764-2588,https://jasperso.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pender County Sheriff's Office,Sheriff Office,Both,North Carolina,Burgaw,28425,"605 E Fremont Street
Burgaw, NC 28425","P.O. Box 1449
Burgaw, NC 28425
",,910-259-1212,"
https://www.pendersheriff.com/312/About-Us",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warrants Division Sheriff's Office
",Sheriff Office,Both,Pennyslvania,Norristown,19404,"P.O. Box 311
Norristown, PA 19404

","P.O. Box 311
Norristown, PA 19404

",,610-278-3331,https://www.montgomerycountypa.gov/414/Warrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn County Sheriff Office,Sheriff Office,Both,Wyoming,Basin,82410,"415 Murphy St,Basin,WY 82410","P.O. Box 69
Basin, Wy 82410",,(307)568-2324,"
https://www.bighorncountywy.gov/departments/sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otoe County Sheriff Office,Sheriff Office,Both,Nebraska,Nebraska City,68410,"1021 Central Ave # 1, Nebraska City, NE 68410","1021 Central Ave # 1, Nebraska City, NE 68410",,(402) 873-9560,https://nrrs.ne.gov/resource/30853/368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral County Sheriff’s Department,Sheriff Office,Both,West Virginia,Keyser,26726,"105 East Street
Keyser, WV 26726","105 East Street
Keyser, WV 26726
",,"
304-788-0441","
https://www.mineralwv.gov/sheriff/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County Sheriff's Office,Sheriff Office,Both,Ohio,Woodsfield,43793,"47129 Moore Ridge Rd, Woodsfield, OH 43793","47129 Moore Ridge Rd, Woodsfield, OH 43793",,(740) 472-1612,"https://monroesheriff.com/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosebud County Sheriff
",Sheriff Office,Both,Montana,Forsyth,59327,"180 S 13th Ave
Forsyth MT 59327","PO Box 85
Forsyth MT 59327
",,406-346-2715,https://rosebudcountymt.gov/departments/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cerro Gordo County Jail,County Jail,Both,Iowa,Mason City,50401," 17262 Lark Ave, Mason City, IA 50401"," 17262 Lark Ave, Mason City, IA 50401",,(641) 421-3000,"https://cerrogordo.gov/sheriff/jail/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoharie County Jail,County Jail,Both,New York,Howes Cave,12092,"157 Steadman Way, Howes Cave, NY 12092","157 Steadman Way, Howes Cave, NY 12092",,"(518) 295-8114","https://www.schohariecounty-ny.gov/departments/sheriff/county_jail.php
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golden Valley County 
North Dakota
",Sheriff Office,Both,North Dakota,Beach,58621,"150 1st Ave SE
Beach, North Dakota 58621","PO Box 67
Beach, North Dakota 58621",,518-295-2264,https://www.goldenvalleycounty.org/departments/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Barbara County
Sheriff's Office",Sheriff Office,Both,California,Santa Barbara,93110,"4434 Calle Real
Santa Barbara, CA 93110
","4434 Calle Real
Santa Barbara, CA 93110
",,"
(805) 681-4100","
https://www.sbsheriff.org/home/who-is-in-custody/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierce County Sheriff,Sheriff Office,Both,Washington,Tacoma,98402,"930 Tacoma Ave. S.
Tacoma, WA 98402","930 Tacoma Ave. S.
Tacoma, WA 98402",,(253) 798-7530,https://www.piercecountywa.gov/121/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones County Sheriff's Office,Sheriff Office,Both,Texas,Anson,79501,"402 2nd St,Anson,TX 79501","P. O. Box 821
Anson, TX 79501
",,325-823-3201,https://www.co.jones.tx.us/page/jones.sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burke County Sheriff,Sheriff Office,Both,Georgia,Waynesboro,30830,"225 Hwy. 24 South
Waynesboro, GA 30830","225 Hwy. 24 South
Waynesboro, GA 30830
",,706-554-2133,"https://burkecounty-ga.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porter County Sheriff's Office,Sheriff Office,Both,Indiana,Valparaiso,46383,"2755 State Road 49,
Valparaiso IN 46383
","2755 State Road 49,
Valparaiso IN 46383
",,(219) 477-3000,"
https://www.portercountysheriff.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
